,iteration,movies,zstat
0,0.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'kids_kitchen.mp4', 'ratatouille.mp4', 'real_cars.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4']",0.0591159751671076
1,1.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'moana.mp4', 'minions_supermarket.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4']",0.08774358370771476
2,2.0,"['kids_kitchen.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'beachsong.mp4']",0.06628574521233244
3,3.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'real_cars.mp4', 'bathsong.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'beachsong.mp4']",0.08278734823634981
4,4.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4']",0.1260909551884983
5,5.0,"['rio_jungle_jig.mp4', 'bedtime.mp4', 'forest.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'up_kevin_social.mp4']",0.08863877928085061
6,6.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'moana.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'beachsong.mp4']",0.06550455009894757
7,7.0,"['forest.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'beachsong.mp4']",0.06807900688566812
8,8.0,"['forest.mp4', 'pingu.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'bathsong.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'beachsong.mp4']",0.048025720482843294
9,9.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'pingu.mp4', 'kids_kitchen.mp4', 'moana.mp4', 'minions_supermarket.mp4', 'up_kevin_social.mp4', 'beachsong.mp4']",0.0822965611314569
10,10.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'kids_kitchen.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'our_planet.mp4', 'up_kevin_social.mp4']",0.08206178530902215
11,11.0,"['rio_jungle_jig.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4', 'up_kevin_social.mp4', 'beachsong.mp4']",0.08224055624458484
12,12.0,"['rio_jungle_jig.mp4', 'forest.mp4', 'ratatouille.mp4', 'minions_supermarket.mp4', 'real_cars.mp4', 'new_orleans.mp4', 'up_kevin_nonsocial.mp4', 'our_planet.mp4']",0.07200223457508928
